FFDate,Mkt-RF,SMB,HML,RF
194601,6.30,3.97,1.89,0.03
194602,-5.81,-0.77,-1.36,0.03
194603,5.84,0.30,-0.80,0.03
194604,4.26,2.21,-0.22,0.03
194605,3.96,1.47,1.75,0.03
194606,-3.94,-1.53,0.02,0.03
194607,-2.58,-2.11,0.03,0.03
194608,-6.43,-1.81,0.13,0.03
194609,-10.05,-4.19,-2.29,0.03
194610,-1.45,-0.26,3.50,0.03
194611,0.09,-0.46,1.25,0.03
194612,5.06,0.04,-1.14,0.03
194701,1.48,1.70,-0.67,0.03
194702,-1.19,0.68,-0.25,0.03
194703,-1.74,-1.68,0.47,0.03
194704,-4.82,-4.09,0.75,0.03
194705,-1.03,-3.31,0.16,0.03
194706,5.33,-0.30,-0.37,0.03
194707,4.09,1.51,2.92,0.03
194708,-1.78,0.39,0.13,0.03
194709,-0.50,1.56,1.47,0.06
194710,2.41,0.56,0.07,0.06
194711,-1.88,-1.78,0.98,0.06
194712,2.94,-2.36,3.95,0.08
194801,-3.80,2.40,1.15,0.07
194802,-4.41,-1.73,0.01,0.07
194803,8.19,0.15,4.53,0.09
194804,3.70,-1.66,4.07,0.08
194805,7.38,0.99,-1.15,0.08
194806,-0.11,-1.78,2.64,0.09
194807,-5.12,-0.34,0.11,0.08
194808,0.30,-1.10,0.24,0.09
194809,-2.99,-1.28,-1.80,0.04
194810,5.97,-1.50,0.63,0.04
194811,-9.10,-0.62,-4.50,0.04
194812,3.18,-2.78,-1.80,0.04
194901,0.20,1.64,1.35,0.10
194902,-3.04,-1.81,-0.82,0.09
194903,4.05,2.32,1.52,0.10
194904,-1.87,-0.98,-1.07,0.09
194905,-2.84,-0.84,-2.55,0.10
194906,0.21,-0.91,-1.78,0.10
194907,5.49,0.61,0.43,0.09
194908,2.57,0.20,-0.41,0.09
194909,3.09,1.00,0.18,0.09
194910,2.97,1.31,-0.79,0.09
194911,1.80,-0.94,-0.92,0.08
194912,5.12,2.07,1.69,0.09
195001,1.63,3.38,0.18,0.09
195002,1.37,0.12,-0.74,0.09
195003,1.12,-1.38,-2.73,0.10
195004,3.94,1.89,1.39,0.09
195005,4.27,-2.08,0.46,0.10
195006,-5.89,-2.39,-0.73,0.10
195007,1.51,0.55,13.47,0.10
195008,4.97,0.80,-1.45,0.10
195009,4.78,0.52,-0.93,0.10
195010,-0.23,-0.52,1.42,0.12
195011,2.74,-0.85,3.26,0.11
195012,5.66,1.50,7.22,0.11
195101,5.69,1.77,3.78,0.13
195102,1.34,0.14,-2.92,0.10
195103,-2.20,-0.68,-4.17,0.11
195104,4.83,-1.46,3.29,0.13
195105,-2.38,0.05,-1.38,0.12
195106,-2.65,-1.97,-3.99,0.12
