Month,VISVX adjusted close,Return,Risk adjusted return,,Mkt-RF,SmB,HmL,RF
2006-may,14.22,-3.8540,-4.2840,,-3.53,-2.99,2.72,0.43
2006-jun,14.38, 1.1252, 0.7252,,-0.44,-0.47,1.48,0.4
2006-jul,14.17,-1.4604,-1.8604,,-0.59,-3.91,3.28,0.4
2006-aug,14.49, 2.2583, 1.8383,,2.09,0.79,-1.72,0.42
2006-sep,14.62, 0.8972, 0.4872,,1.53,-1.19,-0.45,0.41
2006-oct,15.33, 4.8564, 4.4464,,3.3,1.68,0.48,0.41
2006-nov,15.79, 3.0007, 2.5807,,1.95,0.7,0.46,0.42
2006-dec,15.87, 0.5066, 0.1066,,0.68,-0.9,2.55,0.4
2007-jan,16.18, 1.9534, 1.5134,,1.5,0.04,-0.09,0.44
2007-feb,16.09,-0.5562,-0.9362,,-1.78,1.39,0.31,0.38
2007-mar,16.19, 0.6215, 0.1915,,0.87,-0.19,0.32,0.43
2007-apr,16.48, 1.7912, 1.3512,,3.55,-2.11,-0.96,0.44
2007-may,17.09, 3.7015, 3.2915,,3.48,-0.07,-0.08,0.41
2007-jun,16.66,-2.5161,-2.9161,,-1.87,0.65,-1.05,0.4
2007-jul,15.46,-7.2029,-7.6029,,-3.57,-2.71,-2.97,0.4
2007-aug,15.68, 1.4230, 1.0030,,0.75,-0.13,-2.35,0.42
2007-sep,15.82, 0.8929, 0.5729,,3.77,-2.47,-2.09,0.32
2007-oct,16.04, 1.3906, 1.0706,,2.26,0.08,-1.98,0.32
2007-nov,14.96,-6.7332,-7.0732,,-5.27,-2.74,-0.99,0.34
2007-dec,14.75,-1.4037,-1.6737,,-0.7,0.06,-0.07,0.27
2008-jan,14.21,-3.6610,-3.8710,,-6.44,-0.76,3.05,0.21
2008-feb,13.76,-3.1668,-3.2968,,-2.33,-0.54,0.0,0.13
2008-mar,13.78, 0.1453,-0.0247,,-1.21,0.85,0.19,0.17
2008-apr,14.39, 4.4267, 4.2567,,4.94,-1.53,0.07,0.17
2008-may,14.99, 4.1696, 3.9996,,2.22,2.87,-0.31,0.17
2008-jun,13.26,-11.5410,-11.7110,,-8.03,1.08,-1.05,0.17
2008-jul,13.79, 3.9970, 3.8470,,-1.47,3.71,3.61,0.15
2008-aug,14.33, 3.9159, 3.7959,,0.99,3.76,1.46,0.12
2008-sep,13.46,-6.0712,-6.2212,,-9.96,-0.24,4.48,0.15
2008-oct,10.62,-21.0996,-21.1796,,-18.54,-2.12,-3.13,0.08
2008-nov,9.51,-10.4520,-10.4720,,-8.55,-3.62,-4.93,0.02
2008-dec,10.01, 5.2576, 5.1676,,2.06,4.04,-1.28,0.09
2009-jan,8.71,-12.9870,-12.9870,,-7.75,-0.91,-9.93,0.0
2009-feb,7.49,-14.0069,-14.0169,,-10.12,-0.41,-6.73,0.01
2009-mar,8.2, 9.4793, 9.4693,,8.76,0.74,2.55,0.01
2009-apr,9.82,19.7561,19.7461,,11.04,5.14,5.74,0.01
