
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198208  -1.82  -0.57  -2.00  -1.37  -2.01  -1.43  -2.64  -2.32  -1.27  -5.53
198209  -3.42  -2.80  -3.55  -3.17  -3.92  -3.92  -2.22  -4.65  -3.07 -12.27
198210  -1.30  -0.93  -1.47  -0.34  -2.11  -1.11  -0.63  -3.12  -0.14   3.51
198211  14.11  13.35  13.33  16.26  12.29  17.54  15.48  14.38  14.83  10.80
198212  10.76  12.69   9.73  13.72   9.10  14.43   8.62  12.91  10.45  14.75
198301  -1.08  -0.16  -0.51  -3.74   1.00  -0.57  -1.53   1.08  -2.04  28.25
198302   1.87   4.19   1.38   1.38   2.24   4.70   1.29   5.55   0.85  -2.49
198303   1.62  -0.28   0.49   2.69   0.74  -1.03   3.73  -0.34   2.26  -4.14
198304   3.75   2.54   3.87   4.43   3.94   2.12   4.03   2.88   3.79  13.77
198305   0.14  -1.21   1.57  -1.35   0.01  -2.35   2.58  -2.87   1.80  -0.74
198306   1.85  -0.14   2.11   2.45   1.75   1.94   0.55   0.83   2.64   2.35
198307   1.96   0.76   3.16   1.90   3.14   0.08   1.94  -0.41   3.82  -5.98
198308  -1.11  -1.02  -0.41  -2.09   0.53  -0.60   2.20  -0.18  -1.34   1.54
198309   5.29   4.80   3.66   6.42   4.04   8.13   1.34   5.39   4.50   5.01
198310   0.31   1.92  -0.40   1.21  -1.21   1.39  -0.08   0.94  -1.02  -3.80
198311   0.81   0.21   1.45  -0.16   0.01   0.16   0.67  -0.62   1.01  -6.35
198312   7.06   8.13   5.61   8.07   5.36   9.93   5.39   9.19   6.28   2.50
198401   5.30   3.89   4.14   5.66   1.75   4.12   3.11   5.61   2.02   3.91
198402  -0.57  -1.02  -1.59  -1.38  -2.58  -2.89  -2.55   0.09  -3.33  -3.09
198403  15.09  13.07  12.34  12.96  11.52   9.83  10.64  14.33  10.49   8.37
198404  -1.61  -1.95  -3.22  -1.48  -1.46  -2.96  -3.15  -0.78  -3.20  -0.62
198405 -12.56 -11.28 -13.65 -12.84 -12.38 -11.97 -11.63 -10.14 -13.81  -4.99
198406  -0.71  -1.72   0.04  -1.02   0.04  -1.29  -1.44  -1.68  -0.60  -0.23
198407  -6.44  -6.08  -7.57  -6.05  -6.76  -5.21  -6.38  -5.81  -5.97  -9.94
198408   9.07   7.43  11.68   8.80  10.84   9.65  12.13   5.38  13.19   6.85
198409  -0.32  -3.17   3.08  -2.20   1.53  -1.38   1.01  -3.58   1.86   2.85
198410   3.82   3.36   2.59   4.89   3.55   0.74   3.55   3.94   0.62   2.41
198411   1.28   2.87  -1.35   1.72  -1.83  -0.82  -2.56   3.51  -4.20   3.40
198412   3.21   9.12  -0.26   6.46  -0.57   7.39   0.28   9.21  -0.25  -1.53
198501   0.87   2.12   0.64   0.74   0.37  -1.45   2.29  -3.19   1.42  -2.28
198502   2.60  -0.97   6.06  -1.50   7.02  -1.21  -3.47  -2.47   5.96  -0.56
198503   5.07   2.69   5.15   2.70   5.63   4.40   2.96   7.80   2.97  13.33
198504  -3.12  -0.53  -4.70  -0.79  -4.96  -2.34  -1.62  -2.16  -4.35   2.75
198505   3.83   1.46   4.52   2.40   4.99   5.89   0.77   9.25   1.92   8.42
198506   3.75   3.65   4.19   3.13   3.93   3.95  -0.52   3.24   3.23   1.01
198507   2.33   3.58   1.92   0.77   3.19   2.52   1.38   6.58  -0.07   2.42
198508   1.39   2.79  -0.71   2.67  -0.47   3.80   4.04   5.23  -1.34  -3.20
198509   9.39  10.64   6.29  14.43   5.42  18.16   7.60  21.55   4.61   6.19
198510   2.71   1.32   4.68   1.62   2.28  -2.03   6.75  -5.93   6.54   3.98
198511   1.07   1.55   0.96   1.08  -0.12   0.28   1.74  -0.38   1.16  -0.78
198512   5.10   3.63   5.28   7.04   5.06   8.80   5.63   5.71   5.09   8.03
198601   3.24   5.15   2.32   5.23   1.96   3.45   7.68   3.82   3.03   1.43
198602   9.74   5.86  10.86   4.34   9.47   5.37   9.36  14.15   7.83  13.47
198603  17.80  12.94  20.21  11.92  19.04  15.13  18.84  16.79  17.99  13.77
198604   4.56  11.98   0.64  13.67  -1.55  10.15   5.38   2.48   1.81   3.30
198605   1.53  -1.51   3.17  -2.57   3.54  -3.61   3.63   0.44   2.26   8.53
198606   6.68   5.99   6.37   6.31   5.50   6.19   4.77  10.91   4.34   9.30
198607  12.46   3.02  16.61   4.04  13.37  16.12   9.95  24.56  11.29   9.65
198608   7.92  13.20   7.56   9.81   5.87  10.93   0.92   6.04   5.53  -5.01
198609   4.00   5.94   4.54   4.91  -0.43  12.36   1.79   9.28   1.28  -7.27
198610 -10.64  -9.86 -11.46  -6.90  -9.41 -10.37  -8.53 -15.49  -7.41  -7.17
198611   4.34   2.12   4.55   1.63   5.53   1.22   7.62   4.22   4.88   5.82
198612   8.24   8.19   9.52   7.64  10.53   8.17   9.94   7.47  10.59   2.24
198701  16.80   2.98  25.36   1.69  18.02   3.21   4.03   8.51  22.97   8.34
198702   1.29   1.75   1.43   0.48  -0.14   1.81   4.80   4.11   0.05  12.87
198703  10.60   3.72  13.15   2.48  13.78   0.94   8.50   7.01  13.68  12.58
198704  15.82  11.16  18.03  10.90  15.05  11.82   6.95  12.35  17.15  18.22
198705  -0.78   5.55  -3.41   3.80  -0.75  -0.21   5.36  -0.85  -2.38  -1.12
198706  -6.95   4.60 -10.75   3.20  -7.81   2.54  -5.78  -1.75 -10.49  -7.51
198707  -1.93   2.91  -3.33   2.33  -3.55  -0.72   0.30  -2.54  -2.51  -1.96
198708  11.40   6.37  13.34   7.52  10.96   7.00   8.45  12.71  12.38  15.69
198709  -2.79   7.41  -6.45   5.63  -5.46   7.16  -3.54   1.85  -5.95   3.05
198710 -11.56 -15.38 -10.52 -14.04  -9.50 -14.20 -12.74  -8.92 -12.39  -3.94
198711   3.82   4.93   3.38   4.45   3.72   3.19   5.00   2.96   4.93   3.10
198712   1.85   6.92  -0.65   6.61   1.33   3.86   3.64   3.27   0.34  -4.29
198801   4.40   1.57   4.79   4.74   2.74   1.11   1.08   2.61   4.47   4.91
198802   7.20   8.61   6.23  10.74   5.28   9.18   4.16  10.90   5.04   5.68
198803   7.13   9.57   6.53   8.78   6.48   8.93   5.50   7.58   5.93  16.55
198804   1.14   3.32   0.08   1.25   1.54   3.14   2.79   2.52   0.14  -1.81
198805  -3.37  -2.71  -4.34  -4.62  -3.18  -3.84  -3.98  -0.87  -5.29  10.42
198806  -2.91   1.16  -5.12  -2.11  -4.21   0.48  -6.80   3.17  -4.74   5.00
198807   3.92  10.22   2.43   8.30   2.51  14.05   2.41   5.35   2.24   2.44
198808  -7.71 -10.23  -6.81 -10.10  -6.12 -11.81  -5.95  -8.99  -6.95 -10.01
198809   2.72   2.94   0.68   2.01   0.58   3.14  -1.77   6.49  -0.87  11.95
198810   5.94   4.63   5.46   6.98   3.24   4.58  -1.49   9.56   3.86  14.02
198811   9.00   8.18   9.21   8.10   8.25   7.70   6.73   7.63   9.83  12.96
198812   0.35   3.40   0.35   3.72  -0.15   3.44  -2.50   1.66   0.97  -6.84
198901   0.09   1.52  -1.14   1.16  -0.43   0.74   0.36   3.15  -2.33   3.06
198902   1.20   1.07   0.60   1.23   1.50  -1.39   2.25   2.48  -1.65   5.26
198903  -3.59  -1.32  -4.35  -3.77  -4.31  -7.14  -0.83  -4.58  -4.76   3.38
198904   0.31   2.15  -0.75   0.23   0.33   1.31  -0.18   2.61  -1.76   6.20
198905  -5.02  -1.11  -6.49  -1.90  -7.11  -0.42  -6.59  -3.58  -5.16  -6.12
198906  -4.40  -3.11  -4.63  -3.73  -4.89  -4.72  -5.25  -4.60  -3.07  -8.43
198907  12.85   9.54  13.70  11.11  14.30  11.26  13.43  11.71  13.89  13.01
198908  -6.48  -4.24  -7.35  -5.09  -8.36  -7.61  -7.57  -8.25  -5.89 -10.45
198909   6.92   7.97   6.10   7.38   7.40   4.82   8.15   7.14   6.01   5.24
198910  -3.47  -3.11  -3.90  -2.49  -4.18  -2.70   0.14  -2.79  -5.40  -0.54
198911   4.83   1.27   6.15   3.41   6.40   3.65   3.03   4.72   4.96   9.95
198912   1.04   1.25   0.57   0.28   0.71  -0.40  -0.02   0.11   2.15   1.70
199001  -5.46  -3.04  -6.89  -3.41  -7.07  -4.04  -6.31  -4.63  -6.66  -6.83
199002  -9.42  -8.26  -9.36  -9.13  -9.12  -8.14  -8.54  -8.66  -9.80  -7.06
199003 -17.23 -14.22 -20.06 -13.71 -18.82 -13.40 -21.74 -17.10 -15.72 -20.50
199004  -0.62   0.14  -0.45  -0.48  -1.95  -0.10   1.38   2.17  -4.29   1.43
199005  14.33  12.19  15.93  12.37  16.84  10.94  17.59  13.66  14.81  21.37
199006  -3.85  -1.34  -5.33  -1.64  -4.97  -2.60  -4.48  -4.00  -2.49 -11.10
199007   0.04   0.52   0.18   0.46  -0.05  -1.04   0.97  -0.14  -0.26  -0.71
199008 -10.14 -11.00  -9.39 -10.03 -11.55  -9.73 -10.91 -10.13  -8.55 -17.47
199009 -15.82 -14.11 -17.98 -14.86 -16.36 -14.14 -16.13 -15.93 -17.71 -22.59
199010  23.11  18.72  23.32  18.90  27.78  22.63  26.30  21.93  19.71  37.46
199011 -11.31 -11.77 -12.18  -9.96 -15.16 -12.77 -14.64 -13.35  -8.79 -23.66
199012   3.41   0.40   5.06   1.02   4.78   3.39   2.00   3.24   4.23   6.83
199101   3.21   2.10   3.46   2.56   1.48   2.90   2.12   2.24   4.38  -0.33
199102  11.47  15.80   8.55  15.30  11.63  11.91  15.18  15.50   6.07  24.34
199103  -4.56  -5.23  -4.42  -5.55  -4.44  -6.03  -6.26  -6.42  -2.47  -5.65
199104   2.64   2.19   2.50   2.45   0.93   0.42   1.61   1.90   3.39  -0.71
199105  -1.26  -1.88  -1.52  -2.24  -2.31  -2.56  -2.49  -0.98  -1.47  -0.97
199106  -6.68  -6.26  -7.32  -6.23  -7.40  -4.38  -6.93  -6.32  -6.62  -8.16
199107   3.38   4.71   2.25   4.37   2.27   3.43   2.92   4.11   2.30   4.56
199108  -5.12  -6.94  -4.39  -6.41  -5.47  -5.28  -8.12  -5.75  -4.49  -4.81
199109   7.50   8.34   6.27   7.97   7.31   5.34  12.86   8.89   4.80   8.78
