
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198608   3.51   1.60   3.54   5.69   4.28   4.32   2.70   5.92   2.11 -99.99
198609  -0.79   4.49   1.25  -4.24   2.20   1.82   0.40   0.34   0.80 -99.99
198610   3.82   4.97   4.86   3.43   3.83   1.52   3.98   5.11   6.39 -99.99
198611  -1.10  -0.55   0.27  -2.62   0.65   0.03   1.35  -1.63   0.29 -99.99
198612  -0.25  -0.71   1.43  -1.79   0.05  -0.26   1.28  -1.32   0.90 -99.99
198701  -4.37  -0.52  -2.24  -5.21  -4.72  -6.15  -3.26  -5.76  -1.32   5.83
198702  12.58  11.77  13.87  10.86  15.61  14.71  15.41  12.19  14.19  -0.38
198703   6.30   8.67   7.12   5.72   9.74   5.51   7.20   5.49   6.21   7.10
198704   9.11  14.03   6.93   9.61  10.82  14.10   8.84  10.29   7.18  23.56
198705  -5.06  -3.88  -3.03  -6.41  -2.46  -6.34  -2.73  -6.38  -2.99   6.27
198706   2.36   0.32   1.13   3.11   0.40   2.28   0.83   1.22   1.90   7.08
198707   7.76   6.56   8.60   9.65   6.82  10.04   7.94   8.81   9.11  18.67
198708   5.71   3.82   3.46   5.82   0.35   4.47   1.47   5.23   3.59   4.90
198709   3.74   5.38   1.04   6.78   1.19   7.74   0.57   5.95   0.45   9.13
198710 -19.22 -19.24 -18.03 -18.10 -17.09 -19.31 -19.20 -18.61 -18.52 -15.22
198711 -12.40 -10.50 -10.38 -15.58 -11.16 -15.99 -10.33 -10.49  -9.62 -29.59
198712   5.63   2.43   7.50   6.02   7.16   3.18   8.00   3.99   6.61   1.24
198801   4.89   5.38   3.01   4.73   4.58   6.28   4.71   4.54   4.79   2.82
198802   3.31   4.50   0.43   2.30   2.40   4.40   1.33   2.97   1.60   4.89
198803   7.74   8.14   5.84   6.18   5.03   9.24   8.59   6.30   4.67  12.49
198804   3.61   4.94   2.03   5.08   3.49   5.77   1.89   4.90   2.78   0.80
198805   2.37   0.58   2.71   1.34   2.66   0.52   2.42   1.31   2.60 -12.69
198806  -3.84  -4.68  -4.96  -4.45  -4.45  -4.94  -4.98  -3.13  -5.80  -7.83
198807   1.41   2.12   2.11   2.35   3.77   2.39   2.17   2.21   2.57   2.90
198808  -5.60  -6.01  -6.99  -6.33  -6.11  -6.33  -6.04  -5.23  -6.75 -13.50
198809   4.10   5.96   3.47   5.72   2.07   6.68   2.54   4.72   4.01   2.48
198810   7.51   5.67  11.84   5.90  10.52   4.86   8.72   7.47  12.85   5.11
198811   5.10   4.78   4.91   6.95   6.06   5.81   4.16   6.04   5.73   8.99
198812   4.72   7.58   3.36   7.11   3.16   6.43   3.55   6.26   3.18  12.72
198901   2.61   3.04   2.07   1.67   1.90   2.08   1.84   2.80   0.46  -0.07
198902   2.54   3.96   0.54   3.49   2.59   3.37   0.90   2.49   0.87   0.51
198903   3.52   4.28   1.64   4.85   2.55   6.56   2.27   3.98   2.31   6.10
198904   3.50   2.90   3.83   1.65   3.75   5.27   4.47   3.45   2.90   9.70
198905  -1.16  -0.31   1.36  -3.80   0.40  -1.54  -0.18  -0.66   1.57  -1.93
198906   3.16   1.86   2.78   1.47   4.14   3.93   3.12   0.97   4.10   0.16
198907   9.57   9.97  11.40  12.41   9.91   8.82  12.35  10.63  10.05   9.29
198908  -3.97  -3.49  -3.80  -1.79  -3.74  -2.17  -5.21  -3.12  -3.18  -8.11
198909  -0.72   1.49  -1.04   1.91  -2.21   2.10  -0.99   0.40  -2.42   2.63
198910  -4.29  -5.12  -2.38  -4.79  -2.38  -4.74  -4.36  -5.65  -0.93 -10.89
198911   1.18  -0.47   1.69  -1.22   2.55  -0.53   2.28  -0.50   2.49   3.18
198912  10.03   9.76  10.15  10.43   9.35  11.67  10.44   8.50  11.02  12.21
199001   3.39   2.32   5.14   1.52   4.24   2.96   5.44   1.17   5.16  14.66
199002  -2.48  -4.04  -2.89  -3.00  -2.10  -2.46  -3.18  -2.98  -3.16   7.45
199003  -0.70  -2.91  -0.34  -1.85   0.25  -1.05  -1.28  -1.83   0.74  -3.84
199004  -2.59  -2.01  -3.64  -2.30  -4.80  -2.83  -0.99  -2.19  -2.32 -13.53
199005   9.40   9.10   9.51   8.30  10.52   5.60  12.83   7.62  12.00   2.25
199006   3.09   5.42   1.37   4.03   1.10   3.48   2.53   2.78   1.48  -0.14
199007   6.77   6.99   6.54   7.22   5.95   8.29   5.55   8.53   4.34   8.71
199008 -10.12 -12.29  -9.80 -13.73 -10.40 -10.88  -7.55  -9.50  -9.76 -15.34
199009 -16.15 -16.53 -17.90 -16.70 -17.70 -14.43 -17.10 -15.19 -16.62 -15.39
199010   3.29   0.22   3.18   2.42   4.02  -2.05   8.65   0.14   8.14  10.18
199011  -4.46  -6.42  -4.32  -6.73  -4.48  -5.30  -4.95  -6.58  -5.17  -4.71
199012  -0.64  -0.38  -1.19  -0.37  -1.45   1.31  -1.71  -1.03  -1.94 -10.24
199101   6.86   8.95   6.03   6.92   3.68  11.71   6.43  10.92   4.47  -1.76
199102   9.56  14.86   8.68  12.43   9.30  16.76   6.82  11.41   8.28  13.01
199103  -4.59  -3.89  -5.22  -2.97  -4.94  -2.46  -4.67  -1.73  -5.45 -11.80
199104  -3.52  -4.39  -2.67  -5.55  -2.78  -3.93  -2.09  -3.98  -3.08  -3.69
199105   3.33   1.42   2.29   2.91   4.12   1.90   3.76   2.32   4.37  -1.68
199106  -3.37  -2.31  -3.44  -1.46  -3.50  -2.23  -3.57  -2.51  -3.94  -4.02
199107   5.31   5.85   6.43   6.25   4.71   5.80   5.84   3.98   6.53   9.41
199108  -0.78  -3.10   1.57  -2.03   1.95  -0.78   1.92  -4.01   1.84   3.49
199109  -1.01  -1.48  -1.90  -1.03  -1.00   0.52  -1.26  -2.90  -1.67   2.00
199110  -2.49  -4.77  -0.36  -5.63  -1.42  -3.83   2.06  -7.61   0.18  -0.91
199111  -4.80  -3.80  -7.53  -3.27  -7.68  -3.73  -3.87  -4.32  -6.30  -3.18
199112   5.30   1.17   6.34   2.70   6.38   2.84   6.90   4.75   6.38  -3.01
199201   0.75   5.97  -0.42  -0.20  -0.66   4.42   0.62   4.16  -1.52  12.99
199202  -4.64  -5.99  -4.05  -5.24  -4.85  -1.58  -3.16  -3.89  -5.72  -2.75
199203   1.30   4.63  -1.17   3.94  -2.64   4.29  -2.62   2.82  -2.40   8.20
199204   0.27   1.65  -0.97   1.49  -1.51   2.57  -0.91   1.02  -1.08   2.39
199205   5.99   2.15   7.05   4.95   7.38   8.95   7.97   2.85   7.41   8.40
199206  -4.42  -5.33  -2.77  -5.20  -4.92  -4.08  -1.81  -6.86  -3.41  -2.57
199207  -3.18  -5.98  -0.53  -3.83  -1.10  -4.23  -0.28  -5.27  -0.44  -6.38
199208  -8.01 -15.95  -4.38  -9.05  -7.14  -8.01  -5.77 -13.29  -6.27 -12.93
199209  -7.64 -12.19  -4.64  -7.87  -7.80  -7.88  -4.50 -10.38  -6.67  -6.37
199210  -5.96 -13.13  -4.59  -6.69  -2.33  -7.20  -5.27 -10.30  -0.07  -4.05
199211   7.44  16.75   2.26   8.84   4.13  14.50   2.46  15.80   2.94   0.03
199212  -2.21  -4.17  -1.48  -2.58  -3.00  -1.30  -2.26  -3.05  -4.77  -0.65
199301  -0.11   9.50  -1.68  10.39  -2.26   1.98  -1.46   5.03  -2.67   5.50
199302   0.96  -0.75   0.63   2.55   0.76   1.74   0.78   0.05   0.48  -5.77
199303   3.40   6.38   2.76   5.14   2.85   3.37   2.44   6.30   3.37   3.48
199304   9.02  14.96   8.24  11.77   8.99   8.67   8.26  12.47   9.04   9.79
199305   4.68  10.13   4.77   6.94   5.67   7.25   7.03   4.55   4.15  18.87
199306  -6.44  -2.91  -6.50  -4.02  -4.67  -9.25  -8.25  -4.92  -5.28  -7.41
199307   2.50  10.61  -0.35  14.14  -1.95   4.60   0.51  10.56  -0.95   3.43
199308   7.53  11.13   6.59  10.36   9.04   7.05   7.65  10.69   5.87   6.95
199309   1.97  -3.68   4.28  -4.54   3.98  -4.32   5.31  -2.51   4.91  -2.90
199310   8.19  16.07   5.92  17.10   5.67  13.20   7.38  15.20   5.14  14.51
199311  -8.33  -7.34 -10.47  -6.71  -8.62  -0.54 -11.35  -6.59 -10.81   8.95
199312   8.23  10.94   8.29   6.47  10.22   8.97   9.68   7.71   7.79   7.07
199401  17.91  24.29  13.25  20.03  13.12  24.14  12.36  20.47  12.46  23.40
199402  -2.89  -3.92  -2.05  -3.63  -0.75  -0.70  -2.85  -2.82  -3.10  -6.00
199403  -5.59  -7.64  -2.57  -7.66   0.84  -8.30  -5.24  -5.57  -3.95  -8.75
199404   5.94   6.90   6.10   2.68   6.86   6.21   3.64   5.07   5.52   5.17
199405  -3.57  -3.32  -3.94  -2.00  -4.02  -0.39  -0.50  -4.53  -1.13  -2.83
199406  -2.07  -1.93  -0.81  -4.17   0.32  -3.23  -0.58  -3.13   0.00  -2.34
199407   6.74   7.50   7.40   4.57   7.26   5.75   6.69   4.36   7.49   5.87
199408  -1.15  -1.05   0.21  -2.46   0.23  -1.66  -0.01  -2.46  -0.50  -1.62
199409  -0.13   0.06  -0.33   2.91  -2.05   1.31   0.39   0.94  -0.41   1.23
199410   7.48   5.56  10.06   6.63   8.87   5.16   9.47   6.39   9.42   5.52
199411  -4.42  -3.86  -4.30  -8.67  -4.38  -5.42  -4.59  -3.70  -2.79  -6.32
199412   1.61   0.57   1.84   4.81   3.31   2.74   0.70   1.47   2.64   0.25
199501   0.63   1.86  -0.10   2.42  -0.04   2.41  -0.78   3.15  -0.39   2.54
199502   2.28   3.35   1.34   4.01   1.65   6.14   1.84   2.74   2.23   2.36
199503  -2.29  -5.80   0.97  -4.90  -0.50  -5.73   1.02  -3.44  -1.86  -5.44
199504   8.70   7.83   8.55   7.64   7.79   8.50   8.68   7.22   8.49   8.52
199505   1.64   3.57   2.76   0.38   3.39  -1.92   1.95   1.45   1.75   1.18
199506   4.84   2.11   6.40   2.72   5.84   1.41   7.84   2.45   7.83   1.22
199507   7.37   7.29   6.91   7.94   5.93   8.20   7.91   7.55   6.19   9.48
199508  -3.15  -7.85  -0.64  -2.61  -0.89  -5.83  -0.29  -5.40  -0.21  -8.15
199509   7.99   8.44   7.30  10.80   8.56  11.35   8.14   8.37   8.48   6.84
199510  -4.16  -2.71  -5.23   0.37  -5.99  -5.66  -4.61   0.83  -6.88  -6.79
199511   0.66   2.80   0.98  -1.20   1.45  -2.09   1.19  -0.39   0.78  -0.49
199512  -2.92  -0.30  -4.44  -0.21  -6.37  -0.96  -4.90  -1.66  -5.22  -1.90
199601  -2.20  -3.21  -0.26  -4.83  -0.02  -4.51  -0.32  -1.57  -1.28  -1.15
199602   8.05   9.73   6.35  12.17   5.13  15.69   6.28  13.62   5.74  -1.27
199603   1.14   0.70   1.74   0.42   0.75   1.63   1.89   0.29   0.71   0.77
199604   0.79   1.99  -0.22   0.89  -0.71   0.75  -0.58   1.52  -0.02   1.04
199605   3.20   0.93   5.46   1.86   5.32   1.65   4.80   1.16   5.52   1.89
199606   1.21   3.51  -0.97   2.63  -1.28   2.65  -2.61   3.52   0.00  -1.63
199607  -2.01   0.08  -3.24  -0.43  -2.90  -1.31  -2.46  -1.16  -1.54  -2.23
199608   5.64   4.35   6.85   5.15   7.29   5.25   6.40   5.91   7.07   2.40
199609   2.69   2.64   2.51   2.14   2.90  -1.90   2.77   2.27   2.67   2.36
199610   3.45   1.30   5.23   0.88   5.26   0.25   6.53   2.10   6.00   7.11
199611   5.59   5.07   6.30   4.38   6.93   3.82   7.37   2.92   7.59   5.55
199612   2.82   2.67   2.34   4.07   1.62   3.31   1.42   4.96   1.63   0.48
199701   3.77   2.65   6.05   3.95   5.25   3.98   3.86   1.61   6.13   8.08
199702  -0.02   5.68  -3.39   3.92  -2.85   1.47  -2.96   3.78  -2.07   2.87
199703   2.86   2.66   3.03   2.96   4.23   3.81   4.23   2.53   3.39   2.82
199704  -5.45  -5.98  -4.22  -6.78  -6.23  -4.90  -7.11  -6.68  -5.46  -5.62
199705   7.10   6.68   8.00   6.71   7.08   6.31   6.12   5.30   8.57   6.10
199706   5.87   3.35   7.08   2.86   8.07   3.09   8.30   4.96   7.00  -1.97
199707   4.28   4.77   5.61   3.90   7.04   4.37   5.02   4.49   6.70   5.14
199708  -4.37  -4.75  -4.52  -4.55  -5.53  -4.62  -5.63  -4.20  -5.98  -3.96
199709  12.30  10.50  14.46   9.86  15.08   8.63  14.63   9.43  16.60  10.26
199710  -7.70  -5.58  -9.54  -6.33  -8.55  -7.82  -7.05  -7.91  -7.38  -2.56
199711  -0.03  -0.40  -1.26   1.41  -1.51  -1.47   0.12  -0.26  -1.05  -1.31
199712  -0.71   1.25  -1.90   2.02  -1.21  -2.28  -1.78   0.22  -0.93   3.17
199801   1.11   1.05   1.36   0.71   1.06   2.10   2.11   1.90   1.06   1.03
199802   8.63   5.18  10.09   7.74  10.08   4.12  10.11   9.65  11.25   5.23
199803   7.47   9.56   6.54   5.98   6.10   9.69   7.09   8.87   6.30   3.46
199804   4.88   2.68   6.59   1.21   6.62   0.47   7.17   2.86   6.75   4.00
199805   0.90   1.52   0.33  -0.01   1.67   0.41   1.10   1.47  -0.59   0.71
199806  -0.10  -4.61   0.68  -1.17   0.53  -5.42   0.65  -2.65   1.18  -4.04
199807   1.76  -1.12   2.40   0.80   0.92  -1.60   1.40   0.80   1.94  -5.07
199808 -16.91 -15.20 -17.20 -18.24 -16.64 -16.10 -15.08 -17.18 -17.75 -15.32
199809  -5.16  -8.53  -2.76  -6.21  -4.10  -4.04  -3.87  -5.41  -3.79  -2.35
199810   7.93   2.42   8.93   5.12   8.83   2.90   6.70   7.43   8.58  -1.40
199811   4.84   3.34   5.66   3.51   5.53   1.19   7.38   2.96   7.22  -3.50
199812   4.25   0.47   4.99   0.14   5.17  -0.42   5.44   0.67   5.16  -0.85
199901   5.62   4.95   7.21  -1.60   7.81   0.59   8.16   5.65   6.88   5.92
199902  -5.14  -2.87  -5.69  -5.44  -5.38  -3.25  -5.87  -1.40  -5.46   2.42
199903   4.70   4.65   4.42   7.95   4.33   8.27   3.13   5.96   5.65  -7.81
199904   4.81   6.49   3.68   9.02   3.90   9.53   3.21   8.23   4.54  -5.11
199905  -3.20  -4.63  -2.88  -5.21  -2.72  -3.44  -0.66  -5.32  -2.67   7.09
