
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198604   6.24   9.49   4.68  11.01   3.57   8.68   6.61   5.02   4.94   6.10
198605  -2.74  -4.58  -1.54  -4.80  -1.57  -5.28  -1.08  -3.26  -1.98   2.05
198606   5.34   4.72   5.02   4.88   4.12   4.87   4.57   7.66   3.91   7.02
198607   6.90   0.91   9.48   1.92   7.50   8.68   5.00  13.37   6.44   8.28
198608   8.83  12.61   8.58  10.56   7.72  11.17   4.35   8.18   7.19  -0.29
198609   0.14   2.12  -0.01   1.43  -3.01   6.16  -1.30   4.07  -2.15  -7.22
198610  -6.22  -5.95  -6.44  -4.12  -5.17  -6.16  -5.08  -9.51  -3.84  -5.15
198611   4.68   2.82   5.02   2.52   5.58   1.81   6.58   4.05   5.32   5.23
198612   5.92   6.15   6.68   5.87   6.97   6.03   6.88   5.74   7.03   1.02
198701  12.47   4.39  16.90   3.78  13.21   4.80   4.85   7.66  15.97   7.72
198702   1.72   1.83   2.32   0.67   1.35   2.15   5.09   3.02   1.45   9.30
198703   8.56   5.27   9.64   4.28   9.95   3.46   6.65   7.18   9.87   9.93
198704  11.47   8.84  12.47   8.11  11.08   9.56   6.34   9.52  12.38  15.67
198705  -0.86   3.42  -2.80   2.23  -1.24   0.00   2.87  -0.54  -2.23  -1.70
198706  -3.44   4.54  -6.06   3.35  -3.92   2.59  -2.99  -0.10  -5.67  -5.85
198707   0.38   3.55  -0.52   3.58  -0.72   1.10   1.62  -0.20   0.07   0.24
198708   7.18   4.20   8.39   4.94   6.91   4.75   5.67   8.04   7.61  13.07
198709  -1.28   5.18  -3.55   4.25  -2.69   4.79  -1.73   1.24  -3.31   2.20
198710 -14.67 -16.74 -14.66 -16.08 -14.22 -15.76 -16.56 -11.39 -16.23  -7.55
198711   1.29   1.95   0.94   1.96   1.02   1.19   1.43   1.28   1.40   0.69
198712   3.46   6.50   1.98   6.50   3.35   4.35   4.98   4.28   2.59  -4.22
198801   1.16  -0.49   1.43   1.12   0.26  -0.83  -1.00   0.17   1.16   3.39
198802   6.83   8.16   5.97   9.64   5.00   8.22   4.29   9.14   5.33   6.51
198803   5.83   7.92   5.12   6.72   5.52   7.30   4.97   6.16   4.84  13.12
198804   1.34   2.86   0.52   1.35   1.70   3.06   2.13   2.16   0.53  -2.02
198805  -2.89  -2.30  -3.47  -3.72  -2.79  -3.33  -3.26  -1.33  -4.26   7.69
198806  -2.20   0.65  -3.70  -1.22  -3.28   0.63  -5.04   1.97  -3.56   3.30
198807   2.52   6.94   1.51   5.27   1.59   9.07   1.40   3.50   1.42   1.47
198808  -6.50  -8.25  -6.07  -7.92  -5.49  -9.27  -5.39  -7.38  -6.19  -8.66
198809   3.57   3.86   2.22   3.22   2.19   4.00   0.21   6.04   1.04   9.97
198810   6.63   5.67   6.29   7.63   4.53   5.69   1.33   9.00   5.39  11.90
198811   6.77   6.53   6.23   6.74   5.91   6.35   4.27   6.46   6.74  10.22
198812   0.35   2.83   0.24   3.02  -0.19   2.98  -1.88   1.39   0.53  -4.36
198901   1.16   2.27   0.05   2.02   0.62   1.97   1.53   3.56  -0.91   3.75
