
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
197811 -10.52  -9.77 -11.58 -10.45  -9.80  -9.75  -9.59  -9.90 -10.43
197812   6.16   7.10   6.23   5.90   6.43   6.11   6.02   6.57   6.10
197901   0.65   0.12   1.66  -0.35   1.11  -0.10   2.38   0.18   0.98
197902  -1.14  -0.19  -1.75  -1.10  -1.48  -0.41  -1.83  -0.39  -1.48
197903   1.55   1.30   1.11   1.39   2.31   1.48   1.36   2.06   0.96
197904  -0.35   0.78  -0.72  -0.64   0.14  -0.49   0.08  -0.71  -0.76
197905  -3.76  -4.11  -3.54  -3.53  -4.38  -4.77  -4.08  -3.23  -5.69
197906   4.73   4.97   4.30   4.75   3.88   4.28   4.30   5.32   3.81
197907   2.04   0.62   2.01   2.50   0.13   1.49   1.60   1.96   0.75
197908   3.79   4.63   3.42   4.37   4.13   4.41   3.78   4.13   3.86
197909   7.09   7.26   7.38   7.57   7.75   6.95   7.08   6.96   6.14
197910  -8.48  -8.08  -8.89  -7.22  -9.50  -8.97  -9.20  -8.11  -9.72
197911   3.83   2.35   3.82   4.17   2.65   1.58   3.82   3.94   2.09
197912   0.78  -0.86   1.92   0.85   0.75  -0.04   0.67   0.95   0.93
198001   2.48   1.41   3.49   1.11   2.68   1.37   3.40   0.50   2.88
198002  -1.37  -2.70  -0.38  -1.11  -1.91  -2.75  -2.44  -2.32  -1.93
198003 -14.76 -15.03 -14.97 -14.29 -15.59 -14.25 -15.09 -13.41 -15.61
198004  11.45  11.72  11.26  11.91  10.85  10.93  11.83  12.05  11.82
198005   3.83   2.78   4.48   4.38   4.72   3.13   3.46   2.73   4.23
198006   4.32   3.54   4.49   3.94   3.97   1.72   5.19   2.93   5.12
198007   0.73   0.81   1.65   0.02   1.15   0.08   0.51   1.29   1.27
198008   0.22   0.85   0.95   1.28  -0.17  -0.88  -0.12  -0.61   1.00
198009   0.88  -1.48   2.06   0.23   1.51  -2.21   0.89  -0.15   0.25
198010   0.20  -1.60   1.96   1.45   1.39  -4.36   0.14  -1.67   0.66
198011  -1.61  -4.18  -1.00  -1.68  -1.78  -2.62  -2.73  -2.94  -2.74
198012  -3.46  -3.00  -3.75  -2.91  -3.63  -4.51  -3.54  -2.55  -3.18
198101  -6.61  -6.74  -5.81  -7.80  -4.90  -9.53  -8.49  -6.13  -6.94
198102   1.07   4.00   0.63   0.61   2.73   5.41   1.28   1.59   1.56
198103   2.61   4.14   0.59   5.48   2.19   5.69   0.65   3.37   1.96
198104  -3.17  -2.22  -3.63  -2.44  -2.44  -4.11  -2.80  -2.04  -4.26
198105  -8.82  -8.52  -8.25  -8.74  -7.49  -8.59  -7.56  -9.88  -9.96
198106  -1.59   0.36  -2.70  -0.31  -1.48  -1.68  -2.27  -1.13  -3.51
198107  -2.14  -4.21  -0.26  -2.55  -4.30  -4.83  -1.94  -5.11  -0.15
198108   2.44   1.03   2.62   3.30   1.92   2.56   1.02   2.01   1.66
198109  -2.61  -3.16  -1.65  -2.69  -1.71  -2.88  -3.22  -1.04  -3.96
198110   1.35   0.97   1.70   1.68   0.53   0.50   1.43   2.32   0.91
198111   7.73   8.01   7.15   7.85   6.46   4.29   6.23   7.80   7.18
198112  -3.10  -3.45  -3.24  -3.22  -2.62  -1.08  -3.44  -2.60  -2.36
198201  -0.42   1.38  -1.29  -0.87  -1.15   2.49  -1.10  -0.53   0.19
198202  -1.88   0.01  -2.09  -1.67  -1.91  -0.50  -2.96   0.16  -0.50
198203  -1.11  -1.69  -1.67  -2.77  -0.67  -0.80  -1.40  -0.83  -2.36
198204   3.22   3.53   2.65   4.78   2.89   1.90   2.09   3.77   2.54
198205  -2.47  -3.75  -1.71  -4.22  -2.07  -4.32  -1.48  -3.56  -2.13
198206 -10.15 -12.25  -9.39 -10.00  -9.73 -12.79 -10.10 -10.76  -9.33
198207   0.03  -0.39   0.09  -1.45  -0.01  -0.72  -0.05  -1.90  -0.15
198208  -0.09  -0.93   0.18  -1.35   1.05  -2.27   0.35  -0.76  -0.04
198209  -0.34  -0.87   0.48  -0.37  -0.20   0.50   0.25  -0.82  -0.45
198210   1.06   1.42   1.63   2.60   1.26   3.39   0.49   2.18   0.85
198211   4.97   5.57   5.35   5.43   4.86   4.27   4.55   5.65   7.69
198212   8.37   7.96   6.50   8.49   7.72   9.36   8.16   8.44   7.59
198301   0.82   4.58   0.13   0.47   2.25   4.69  -0.20   1.96   1.71
198302   5.37   7.12   4.75   6.03   5.24   7.61   4.62   5.64   5.54
198303   7.43   8.09   5.91   7.41   7.17   7.17   5.27   7.75   7.30
198304   2.87   1.45   2.29   2.95   1.94  -0.40   3.21   1.80   1.68
198305  -3.89  -3.12  -3.55  -4.91  -2.99  -2.18  -2.67  -3.97  -3.72
198306   2.91   2.97   2.75   2.56   2.76   1.05   3.27   1.58   3.06
198307  -0.25   0.24  -0.46   0.44  -1.37   0.91  -1.51  -0.39   0.54
198308  -3.80  -3.96  -4.13  -3.78  -5.31  -3.63  -3.77  -3.35  -4.15
198309   3.57   3.96   5.14   4.12   4.02   3.97   2.71   3.04   4.91
198310   2.33   2.84   4.10   2.47   3.51   2.51   1.43   0.96   4.10
198311   1.29   1.85   1.09   1.49  -0.23   2.07   0.67   1.16   2.98
198312   1.86   2.90   1.11   1.74   1.57   2.98   1.48   2.51   1.86
198401   4.39   7.23   2.91   6.18   2.11   7.70   1.43   6.98   2.55
198402   2.40   2.38   1.50   4.13   2.18   2.51   1.86   4.36   1.01
198403   1.56   1.56   1.13   1.14   2.19   2.12   1.87   1.71   0.61
198404  -1.81  -2.50  -2.19  -0.74  -2.29  -2.36  -2.16  -1.08  -3.05
198405  -4.19  -3.55  -4.48  -3.37  -4.60  -3.02  -4.21  -2.98  -4.82
198406  -1.11  -2.69   0.57  -2.09   1.01  -2.59  -0.21  -2.77  -0.03
198407  -7.74  -8.10  -7.17  -8.10  -6.72  -8.01  -6.64  -8.19  -7.50
198408   8.63   7.87   7.96   9.71   9.23   8.69   8.61   8.91   8.95
198409  -0.24  -0.83  -0.50   0.98  -1.93  -0.95  -1.70   1.08  -1.10
198410   0.61   1.85   1.18  -0.97   1.66   1.70   0.38  -0.06   2.00
198411  -1.41  -0.39  -2.24  -0.96  -2.19  -1.26  -1.28  -0.36  -3.16
198412   0.63   1.08  -0.05   1.17  -0.51   1.17  -0.31   0.44   0.54
198501   5.54   5.12   5.81   4.14   7.36   3.22   6.13   4.68   6.69
198502  -2.65  -3.32  -3.42  -1.49  -4.27  -2.38  -3.20  -2.01  -3.01
198503   8.59   9.16   8.64   7.84   7.76   9.59   8.30   8.18   8.65
198504   3.01   1.55   3.75   2.96   2.76   2.06   1.67   3.04   2.59
198505   6.18   6.58   6.34   5.41   5.84   5.60   5.04   5.47   7.52
198506   4.12   4.23   5.41   2.14   6.21   3.21   3.46   2.46   5.09
198507   8.12   9.51   8.42   7.80   7.47   9.60   6.88   8.23   8.05
198508   6.06   7.56   6.48   5.94   6.11   6.25   4.32   5.07   6.79
198509   5.29   5.52   4.11   4.15   5.05   4.84   5.80   5.40   5.21
198510  11.21  10.19  12.18  11.02  11.35  10.59  10.57  10.12  12.52
198511   7.98   8.75   8.66   6.77   9.22   8.76   7.03   7.20   8.74
198512   9.71   8.82   9.00   6.74  10.08  10.78   8.33   5.78  10.01
198601   3.35   4.70   3.20   4.29   4.17   4.12   3.28   2.81   5.33
198602  11.87  15.95   8.83  15.67  10.83  16.44   7.93  15.39   9.30
198603   8.85   8.76   8.87   8.23   9.69   8.07   6.15   6.57   9.67
198604  10.49   7.50  13.55   9.91  13.62   8.89  10.44  10.28  10.88
198605  -8.45  -9.70  -7.11  -8.80  -7.26  -9.26  -6.62  -8.44  -7.40
198606   1.51   0.59   1.50   0.56   0.15   0.09   3.10   1.18   1.08
198607   4.15   0.49   5.13   2.30   4.62   1.77   1.84   1.27   5.08
198608  13.14  14.83  12.97  13.56  13.87  13.36  12.34  13.34  13.22
198609  -4.57  -3.22  -5.00  -3.31  -5.40  -3.17  -4.33  -3.01  -6.09
198610   0.03  -0.74   1.16  -0.15   1.42   0.11  -0.62  -1.28   1.75
198611   6.16   3.98   7.43   4.17   7.21   2.17   7.11   4.37   7.21
198612   1.51   1.62   1.51   2.00   0.12   1.39   1.64   1.79   0.94
198701   3.57   4.12   1.46   4.24   2.98   4.82   2.94   4.38   2.59
198702  -2.80  -0.09  -3.51  -2.09  -2.89   0.04  -0.92  -1.74  -2.86
198703   5.05   4.29   5.02   5.55   4.00   4.17   4.73   4.99   4.47
198704   2.65   3.16   2.46   2.56   3.37   3.88   5.03   2.60   3.82
198705  -4.57  -3.52  -5.21  -3.25  -6.24  -3.20  -5.63  -3.39  -6.17
198706   2.35   2.62   2.76   2.62   2.38   1.98   2.29   1.73   2.71
198707   4.75   4.59   4.67   4.30   5.18   4.04   4.66   4.36   5.80
198708   2.50   3.26   2.37   2.94   2.65   3.96   3.25   2.73   2.41
198709  -2.08  -2.20  -2.43  -1.47  -2.07  -2.18  -1.80  -2.88  -2.26
198710 -17.78 -15.63 -19.70 -15.47 -20.36 -15.25 -21.67 -12.29 -21.03
198711  -2.72  -4.08  -3.12  -1.84  -3.51  -1.84  -5.88  -0.63  -5.29
198712   2.89   1.46   4.09   1.36   4.44   0.72   4.62   2.74   3.25
198801  -9.36  -8.79  -8.97 -10.38  -8.85  -9.01  -9.33  -8.82  -9.88
198802  11.83  14.48  10.64  13.49   8.74  12.04   9.42  11.13  12.38
198803   1.00   1.78   0.75   0.85   1.79   2.43   2.73   0.91   1.03
198804   0.27   0.71  -0.10   0.49   1.07   2.19  -0.45  -0.13   0.54
198805  -1.87  -1.05  -2.05  -1.30  -2.81  -1.20  -1.92  -2.16  -1.77
198806   1.19   2.86   1.17   2.40   0.03   4.07   0.46   0.82   1.13
198807  -1.22  -1.18  -1.12  -2.08  -0.99  -3.41  -1.71  -0.81  -1.21
198808  -1.64  -1.67  -2.25  -0.69  -1.77  -1.39  -1.99  -1.73  -2.22
198809   6.09   6.92   6.61   6.18   6.24   6.25   4.54   5.89   6.28
198810   8.96   8.62   8.87   9.73   7.80   8.92   7.96   8.84   9.09
198811   2.06   2.14   0.12   4.37   1.40   3.04  -1.21   3.65   0.56
198812   1.55   3.78   0.57   2.92   1.00   3.38   0.67   1.91   0.48
198901  -1.56  -0.61  -2.66  -2.20  -1.52  -0.01  -0.01  -0.09  -2.47
198902  -0.14   0.95  -0.47   0.53  -0.62   1.19   0.42  -0.32   0.87
198903   0.29   1.07  -0.19  -0.22   0.07   0.85  -0.45   0.65   0.20
198904   4.31   4.69   4.18   4.87   5.16   5.43   5.94   4.81   4.57
198905  -3.37  -2.70  -4.76  -2.53  -4.45  -0.87  -3.60  -3.00  -4.48
198906   5.28   5.60   5.11   5.88   5.72   6.45   5.27   4.38   6.60
198907   9.54   8.35  11.72   8.26  11.47   5.88   9.23   8.01  10.86
198908  -0.68  -0.43   0.12   0.15  -1.65   0.30  -0.54  -1.74  -0.35
198909   4.74   4.63   4.94   3.45   5.57   4.89   6.08   3.61   5.13
198910  -5.00  -4.48  -5.15  -5.34  -5.19  -4.23  -5.61  -3.95  -6.54
198911   6.58   6.27   5.81   5.82   7.07   7.16   6.51   6.24   5.65
198912  10.12  10.64   9.52   9.85   9.14   9.99   7.55  10.14   9.72
199001  -1.01   0.01  -2.09  -0.67  -1.48  -0.35  -0.60   0.44  -1.60
199002  -2.34  -1.28  -4.44  -0.99  -4.12  -0.56  -3.35  -0.28  -4.46
199003   5.92   5.22   7.24   6.22   6.87   6.42   7.33   4.75   6.77
199004  -0.58  -0.21  -0.19   0.67  -0.83   0.07   0.26  -0.62   0.17
199005   3.99   2.88   5.41   3.10   6.00   2.33   4.33   3.91   4.69
199006   2.81   2.30   3.83   2.29   4.43   2.46   4.58   2.16   3.68
199007   4.80   3.21   6.38   2.01   6.56   1.61   5.30   4.96   6.46
199008 -13.03 -13.13 -12.74 -14.11 -12.70 -13.98 -13.46 -10.72 -13.31
199009 -12.48 -12.29 -13.45 -13.34 -13.07 -12.89 -12.47 -10.93 -13.41
199010   9.40   5.51  11.99   5.95  12.58   5.89  13.07   5.46  11.90
199011  -1.00  -0.08  -1.68  -0.87  -1.68   0.45  -1.44  -0.08  -1.26
199012  -1.53  -0.36  -2.18   0.02  -2.09  -0.51  -2.82  -0.68  -2.49
199101   2.76   4.57   1.66   4.78   1.67   4.44  -0.02   4.75   2.62
199102   7.83  10.49   6.34  10.96   6.76  11.64   5.45   8.86   7.77
199103  -7.20  -6.63  -7.65  -6.42  -7.79  -6.17  -6.23  -6.86  -8.23
199104   0.86   0.70   0.68   0.29   0.77   0.80   1.42   1.60   0.64
199105   1.34   1.48   0.88   1.58   0.99   1.83   0.17   1.14   1.44
199106  -7.75  -7.57  -8.47  -6.83  -8.53  -6.54  -7.72  -8.06  -8.27
199107   3.73   3.94   3.42   3.38   3.03   3.18   3.53   3.89   3.18
199108   1.44   3.11   0.32   2.46   0.44   2.33   1.99   2.19   0.64
199109   3.03   3.95   2.78   2.67   3.41   3.58   3.64   4.37   2.49
199110  -1.55  -0.68  -1.65  -2.88  -1.48  -1.52  -1.31  -1.14  -1.54
199111   0.41  -0.24   1.20  -1.05   2.08  -0.37  -0.25   0.01   1.61
199112   7.34   6.22   7.74   7.11   7.65   6.69   7.84   7.58   6.96
199201   0.55   2.62   0.68   2.86   0.06   1.66   0.55   1.24   0.72
199202   2.09   2.42   2.44   2.45   2.50   2.90   2.94   2.39   2.22
199203  -1.92  -1.76  -1.50  -1.99  -1.75  -1.25  -0.84  -2.19  -1.51
199204   1.67   2.07   0.63   2.40   0.33   3.11   0.60   1.86   0.86
199205   5.09   5.23   4.77   5.88   4.87   6.72   4.23   5.30   5.10
199206   0.06  -1.15   1.72  -0.17   1.07  -1.74   0.47  -0.45   0.43
199207  -3.45  -4.03  -3.83  -4.95  -3.36  -5.18  -2.60  -3.34  -3.94
199208   0.63  -0.28   0.97  -0.11   1.10   0.72   0.42   1.30   0.32
199209  -1.54  -2.23  -0.90  -3.72  -0.62  -4.92  -1.61  -2.09  -2.11
199210  -6.65  -7.24  -5.85  -6.48  -5.84 -10.40  -6.74  -6.46  -6.68
199211  -1.53  -3.04  -1.56  -2.12  -2.54  -2.53  -2.48  -2.47  -2.00
199212   0.93   1.62   0.62   1.65   0.76   0.87   0.16   1.41   0.64
199301   2.40   7.95   1.28   6.04   1.47   5.04   0.26   4.88   1.61
199302   3.13   2.48   2.91   3.80   2.44   2.69   1.64   3.72   2.52
199303   5.34   8.02   5.36   6.98   4.39   6.14   5.65   6.23   4.96
199304   0.55   0.45   0.80   0.38   0.86   1.55   0.23   1.02   0.06
199305   1.26   1.28   1.02   1.02   1.61   1.26   1.72   1.43   1.38
199306  -3.21  -1.89  -4.58  -2.50  -3.99  -0.81  -4.04  -1.56  -4.19
199307   1.84   2.83   0.05   4.53   1.06   5.46  -0.06   3.23  -0.01
199308  10.00  11.52   9.81  10.23   9.50  10.76   8.90   9.79  10.76
199309   0.29  -0.07   0.79  -0.29   1.37   0.56   0.17  -0.16   0.56
199310   3.15   1.54   3.94   2.50   3.29   2.51   2.48   3.38   3.67
199311  -2.57  -1.06  -2.57  -3.26  -1.98  -3.09  -2.37  -2.69  -2.18
199312   8.05  10.14   6.94   9.45   6.77  10.57   7.84   7.97   7.65
199401   5.43   8.11   5.17   4.11   4.98   8.37   8.06   5.77   6.68
199402  -2.97  -1.92  -3.79  -3.25  -2.60  -0.75  -2.59  -3.58  -3.06
199403  -0.04   2.01   0.30  -0.40  -0.59   3.14   1.21  -0.82   0.72
199404   4.31   6.69   3.21   3.66   4.86   6.99   3.73   5.36   3.98
199405  -3.69  -2.97  -3.10  -3.42  -3.79  -4.45  -2.87  -3.13  -3.77
199406  -1.15  -0.78  -1.46  -1.31  -1.35  -0.67  -1.08  -0.84  -0.60
199407   4.74   4.73   4.53   5.04   5.56   6.53   4.37   4.68   3.84
199408   1.48   1.32   2.55   0.48   0.88   2.46   3.27   0.81   1.90
199409  -3.92  -4.50  -2.76  -4.10  -3.72  -5.55  -1.68  -3.65  -3.08
199410   3.35   2.79   3.11   3.28   3.94   3.33   1.91   3.93   2.43
199411  -3.80  -4.72  -3.71  -3.81  -3.37  -5.55  -3.50  -3.83  -3.90
199412   0.73   0.46   1.70   0.75   0.27   0.34   1.56   0.40   0.85
199501  -1.21  -1.53  -1.43  -0.08  -1.43   0.16  -0.86  -0.76  -1.55
199502   4.08   2.58   5.63   3.90   4.89   3.52   5.37   2.97   5.13
199503   2.76   1.80   4.71   3.34   2.92   0.92   4.00   2.93   2.35
199504   4.01   4.32   4.72   4.02   5.36   4.38   4.51   3.81   4.78
199505   2.15   2.71   1.14   2.23   1.93   2.53   1.82   2.91   2.34
199506   1.29   0.79   2.62   1.90   1.47   1.45   1.93   0.77   1.66
199507   4.10   3.36   4.30   4.62   5.22   6.83   4.88   2.30   5.53
199508  -4.49  -5.64  -3.45  -4.60  -4.48  -5.41  -3.79  -5.46  -4.33
199509   1.88   1.74   2.54   1.54   2.11   0.77   2.71   1.93   2.40
199510   0.59   1.03   0.56   2.06   1.03  -2.99  -0.43   2.19  -1.36
199511   0.07   0.56  -0.65   0.60   0.01  -0.25  -1.13   0.28  -1.16
199512   4.20   3.63   4.80   3.57   4.53   4.70   3.89   4.42   3.32
199601   1.54   1.68   1.95   3.30   1.13   6.09   2.00   0.96   1.97
199602   2.16   2.14   2.38   3.82   1.87   2.88   3.55   1.58   2.69
199603   2.32   1.01   3.58   4.78   2.80  -0.62   4.83   0.51   2.23
199604   0.34   0.89  -0.55  -0.72  -0.41   2.08  -0.69   1.73  -0.89
199605   0.68  -0.02   0.73   1.82  -0.33   1.45   1.24   0.44   0.12
199606   1.63  -1.10   3.06   2.02   2.30  -0.51   2.89   1.56   2.15
199607  -2.23  -2.23  -1.67  -3.79  -1.73  -5.49  -2.62  -1.09  -1.75
199608   0.77   1.17   0.61   1.46   1.16   2.16   1.06   1.17   1.05
199609   2.49   1.91   2.16   3.71   1.34   3.30   2.12   2.65   1.09
199610   0.39   0.58  -0.12  -0.49  -0.13   0.70  -0.67   1.88  -0.37
199611   5.01   7.57   4.35   5.61   4.04   7.20   3.17   6.05   3.94
199612   1.66   1.06   1.74   1.17   0.95   2.39   1.85   2.14   1.48
199701   1.31   2.35   0.41   2.17   0.51   4.20   0.40   2.47   1.28
199702   0.85   2.19   0.24   1.82   0.73   0.61   0.56   1.33   0.87
199703   4.59   3.99   3.57   3.86   3.03   4.89   4.22   5.49   4.35
199704  -1.02  -2.52  -0.42  -1.16  -0.40  -0.24  -0.26  -2.23  -0.53
199705   3.72   5.02   3.13   2.84   2.65   4.58   1.97   5.17   3.36
199706   6.58   3.92   7.61   4.88   7.84   8.74   8.13   3.77   7.49
199707   4.17   8.68   3.59   5.46   3.56   3.81   1.43   7.56   3.81
199708  -7.63  -5.96  -8.05  -7.14  -8.41  -4.68  -7.72  -5.86  -7.71
199709   9.69  12.98   8.26   9.37   7.81   9.49   7.68  11.72   8.06
199710  -5.10  -4.75  -6.18  -5.41  -4.65  -6.51  -5.53  -3.98  -6.34
199711   2.13   0.96   3.15   0.71   2.60  -0.03   3.14   1.24   2.23
199712   3.92   7.60   3.26   2.63   3.84   0.96   2.77   6.65   3.32
199801   4.31   4.85   5.52   3.38   5.40   3.67   5.21   3.92   6.18
199802   8.48  10.68   8.53   8.45   9.82   7.55   7.60   8.65   8.88
199803   8.20  13.29   5.73  12.33   5.20  13.04   7.51  11.19   7.52
199804   2.11   6.27   1.66   1.69   2.23   3.21   1.59   1.90   1.50
199805   5.70   4.55   5.69   4.92   5.69   5.40   6.13   5.37   5.66
199806   0.29  -2.42   1.33  -1.53   2.26  -0.85   1.94  -1.93   0.94
199807   3.47   4.77   3.26   0.31   4.11   1.91   2.52   1.86   4.36
199808 -13.66 -15.63 -12.60 -16.77 -10.36 -13.95 -10.50 -14.26 -12.68
199809  -4.17  -5.62  -2.55  -5.96  -2.56  -1.58  -1.49  -8.35  -3.76
199810   8.43   5.42   9.21   9.06   8.51   5.65   8.24  10.11   8.46
199811   6.16   7.68   5.34   5.58   5.58   3.58   4.89   5.48   6.79
199812   4.42   5.01   5.22   1.70   6.30   5.08   6.84   2.71   6.51
199901  -1.46  -4.00  -2.02  -2.85  -0.28  -5.17  -1.72  -3.64  -2.53
199902  -4.58  -3.22  -5.42  -3.70  -5.00  -0.88  -4.85  -2.70  -6.40
199903  -0.10   4.06  -2.99   3.21  -2.45   2.91  -4.03   7.06  -2.77
199904   2.44   6.63  -0.33   6.41   0.97   7.31  -0.48   6.19   0.55
199905  -3.90  -4.71  -3.52  -3.94  -3.33  -3.54  -1.38  -4.43  -3.91
199906   1.36   4.21   0.33   1.53   0.97   3.20   1.08   2.55   0.55
199907   0.81   5.05  -0.24   2.25  -0.04   6.20   0.23   4.97  -0.61
199908   2.11   1.79   2.86  -0.24   3.06  -0.06   2.82   0.16   2.19
199909  -0.41   0.46   1.28  -0.75   0.43   0.14   0.31  -0.08   0.42
199910   2.55   0.33   2.04   1.57   3.43  -0.58   0.56   0.36   2.55
199911   2.39  -3.90   3.05  -4.24   4.76  -2.43   4.61  -3.70   1.98
199912  12.32  10.84  11.58   7.91  13.72   9.34  13.32   8.24  12.17
200001  -7.28  -9.46  -5.76  -8.89  -6.06  -7.10  -4.75 -11.26  -4.43
200002   7.89  -1.28  11.58   2.92  11.37   1.23  14.48   1.22  12.06
200003   0.28   4.69  -1.33   1.35  -0.88   3.38  -4.31   2.05  -2.90
200004  -5.22  -1.65  -6.96  -3.89  -6.04  -5.28  -6.78  -4.11  -6.67
200005   1.08   3.53  -0.63   3.48  -0.21   2.40   0.09   2.96  -1.51
200006   3.40   4.17   2.63   2.30   3.60   1.12   2.29   4.19   2.92
200007  -1.45   1.17  -2.82   1.32  -2.30   1.03  -3.20  -0.35  -2.66
200008  -1.90  -2.21  -2.74  -2.41  -2.58  -3.35  -1.15   0.10  -2.94
200009  -4.63  -2.65  -5.10  -4.34  -5.18  -2.40  -6.36  -3.97  -5.52
200010  -1.38  -0.51  -1.89   0.21  -2.10  -0.48  -3.27   1.84  -2.27
200011  -2.60   2.93  -4.17   0.38  -5.11   3.74  -5.81   2.15  -6.50
200012   7.39   8.57   5.95   9.26   6.27   8.69   5.05  11.04   5.31
200101   1.27   7.70   1.28   4.75  -0.69   5.24   0.43   6.35  -0.80
200102  -8.22  -3.39  -9.62  -5.20  -8.95  -2.35  -9.30  -4.24  -8.69
200103  -8.32 -10.35 -10.09  -5.91  -9.61  -8.29 -10.21  -7.44 -11.17
200104   6.18   6.60   9.11   5.89   6.54   7.37   8.27   5.80   6.41
200105  -5.62  -5.65  -6.67  -4.46  -7.44  -5.21  -5.95  -5.00  -6.01
200106  -3.47  -5.43  -3.60  -3.11  -2.05  -5.88  -4.12  -3.95  -3.04
200107   0.44   0.95  -0.58   3.42   0.07   4.26   1.11   1.57   0.06
200108  -2.46  -3.74  -2.74   0.78  -3.70  -2.16  -3.25  -0.09  -2.55
200109 -12.42 -18.56 -11.05 -16.11 -10.39 -18.07 -10.49 -13.85 -14.22
200110   3.54   7.52   3.70   4.79   3.26   7.23   3.60   3.21   4.60
200111   4.73   8.75   5.26   6.58   4.87   8.16   6.60   6.56   6.54
200112   2.17   0.73   2.24   3.67   0.98   3.72   1.24   1.95   1.37
200201  -4.71  -5.63  -3.26  -3.29  -5.36  -5.10  -4.41  -2.98  -5.44
200202   0.49  -0.28   2.09   0.27   0.19  -0.66   0.80   1.31  -0.55
