
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
199805  -6.17  -6.55  -6.06  -6.51  -6.38  -5.63  -6.19  -6.01  -6.69
199806  -0.85  -0.58  -0.94   0.07  -0.64   0.40  -0.77  -0.12  -0.40
199807  -1.49  -4.80   0.07  -0.59  -1.59  -1.08  -0.51  -2.34  -0.76
199808 -11.22 -12.55 -10.80 -10.56 -12.07 -12.87  -8.90  -8.51 -11.80
199809   0.48  -4.34   1.00  -1.32   0.73   0.03   2.97   0.97   0.74
199810  17.29  26.24  15.09  17.61  19.95  19.69  12.36  22.90  15.22
199811   4.38   4.59   4.09   5.97   2.45   6.17   3.84   1.62   5.12
199812   2.64  -0.42   3.01   1.14   2.73   2.78   4.50   2.74   2.50
199901   0.60   1.92   0.32   0.62  -0.58   2.67  -1.24  -2.54   1.23
199902  -2.52  -2.69  -2.55  -1.30  -2.94  -0.32  -3.29  -3.90  -2.59
199903  13.24  19.73  11.82  13.95  12.79  15.00   9.63  12.50  12.95
199904   7.32  15.33   5.44   4.97   7.36  10.71   5.74  10.07   6.33
199905  -5.01  -6.45  -4.38  -1.11  -4.76  -4.39  -1.44  -4.48  -4.39
199906   9.31  12.05   9.40   9.06   9.68  13.02   8.11   4.53  11.03
199907   7.88   6.93   8.31   6.82   7.16   7.71   7.76   6.27   8.96
199908   1.44   5.50  -0.41   2.37  -1.48  -2.93   3.43   3.64  -1.03
199909   5.09   6.71   4.69   3.72   5.58   6.56   6.30   2.32   6.26
199910   5.91   4.85   5.55  -0.32   7.59   7.18   4.39   1.84   8.45
199911   7.71  -2.06   9.03   2.30  13.90   7.66  12.70  -3.87  13.05
199912   5.66  -5.29   7.43  14.24  -0.04   6.98   4.34  -7.05   8.93
200001  -5.76   0.51  -8.42   0.72  -9.78  -0.16  -8.94  -2.27  -7.67
200002  -2.07 -14.36   0.66  -5.44   3.83  -6.35   3.81 -10.13   0.30
200003   6.71  13.77   4.84   9.26   0.34  12.16   2.18   9.34   5.79
200004  -7.48  -4.23  -8.59  -1.04  -9.23  -0.06  -8.82  -1.91  -9.24
200005  -7.24   4.42 -10.60  -2.43 -14.61  -0.61 -14.02   5.14 -11.17
