
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
198410  -1.02   1.72  -0.73  -2.68  -0.05  -3.56  -0.52  -1.91   0.43
198411   1.49   0.22   2.32   0.60   1.91   2.26   2.08   1.43   1.91
198412   0.62   1.77   0.41   0.80   1.35  -0.13   0.57  -0.05   0.46
198501   2.16   4.15   0.67   6.12   0.44   6.47  -1.43   6.24  -0.50
198502  -4.46  -3.99  -4.45  -4.11  -4.12  -2.64  -4.24  -3.90  -5.41
198503  15.54  15.80  17.37  11.81  16.98  12.79  14.32  13.76  14.07
198504   1.64   1.81   2.30   0.92   2.14   1.43   2.84   2.81   2.77
198505   6.30   4.41   9.32   3.38   4.81   2.68   3.53   3.73   2.63
198506  -3.91  -0.59  -7.12   1.10  -5.34  -1.78  -6.63   0.51  -5.48
198507  12.82  12.94  15.92   8.73  13.11  10.09  14.52  12.14  12.11
198508   4.87   5.29   5.28   5.12   4.91   6.18   4.78   5.89   5.58
198509  -3.59  -2.83  -4.47  -4.29  -2.81  -4.45  -3.49  -2.95  -6.06
198510  10.57  11.40   9.51  10.21  11.65   7.98  11.25  10.84  11.75
198511   7.69   5.79   8.93   6.00   7.52   5.09   7.84   5.59   7.50
198512  -4.08  -4.27  -5.43  -1.64  -4.44  -3.06  -4.29  -3.59  -3.59
198601   0.01   1.44  -1.48   2.39  -1.08   3.52  -0.89   1.70  -0.96
198602  12.75   9.93  12.34   9.45  13.14   8.94  13.07   9.48  15.83
198603   9.70  10.49   8.75  11.69   9.21   9.32   9.84  11.14   8.73
198604   4.55   4.95   3.38   3.90   3.79   3.25   4.28   4.71   5.53
198605  -7.00  -5.93  -7.44  -6.17  -8.17  -4.61  -6.79  -6.33  -6.83
198606   7.01   7.09   5.70   7.36   5.71   7.54   6.02   7.69   6.46
198607  -7.74  -5.70  -8.14  -6.15  -7.82  -5.57  -7.07  -5.82  -8.01
198608   5.66   7.57   5.68   9.04   5.00   9.16   4.91   8.39   4.63
198609  -7.61  -4.62 -10.57  -3.97 -10.44  -2.48  -9.26  -4.66 -10.17
198610   1.67   1.38   1.54   0.58   1.33   1.04   1.82   1.55   0.82
198611   4.06   4.04   3.00   3.87   3.27   3.90   1.83   3.51   3.80
198612   5.53   7.36   5.43   7.03   6.22   6.95   4.86   7.16   4.16
198701  12.86  11.83  12.02  13.31  14.20  13.27  13.27  12.03  13.72
198702  10.53   4.52  15.49   5.35  14.14   6.07  15.91   5.44  14.73
198703   5.80  12.88   2.52   9.63   3.32  12.69   1.84  11.54   2.74
198704   6.56   7.01   4.45   4.49   5.78   7.96   5.43   7.89   6.30
198705   4.79   4.63   3.72   4.06   4.07   6.44   4.45   5.84   4.89
198706   3.79   7.29   2.16   5.01   4.41   3.68   1.95   4.61   3.57
198707   2.99   4.38   2.83   6.96   1.90   3.53   2.24   2.14   2.52
198708  -2.23  -2.71  -1.64  -2.25  -1.96  -2.66  -1.15  -2.16  -2.26
198709   5.81   6.00   6.78   6.10   7.93   4.11   5.92   3.89   6.56
198710 -22.43 -23.29 -24.13 -24.71 -24.59 -22.22 -24.77 -19.18 -24.79
198711  -2.96  -1.69  -3.09  -1.98  -3.43  -1.65  -3.20  -2.31  -4.47
198712  11.94  11.89  11.39  13.13  11.29  11.89  11.71  11.37  11.68
198801  -0.63   0.04  -0.77  -1.11   0.07  -0.20  -0.60  -0.02  -0.21
198802  -0.36  -0.96  -0.07   0.84  -0.42  -0.37  -0.73  -0.77  -0.91
198803   5.27   7.58   3.57   4.03   5.66   5.04   4.63   5.83   4.78
198804   3.39   2.85   3.43   2.40   3.11   3.32   1.91   2.73   1.70
198805  -2.45  -2.14  -1.60  -2.74  -1.50  -3.85  -1.97  -3.06  -2.25
198806  -2.57  -3.99  -2.29  -0.66  -2.48  -2.05  -2.77  -2.03  -3.33
198807   0.36   1.37   0.06  -0.38  -0.09   0.56   0.11  -0.24   0.59
198808  -6.42  -6.50  -6.94  -5.80  -6.85  -6.22  -6.62  -6.36  -7.01
198809   4.62   4.34   4.32   5.31   5.38   5.24   4.65   4.02   3.81
198810   6.94   7.13   6.31   8.50   6.06   7.34   6.21   6.48   7.52
198811   1.75   4.12  -0.84   2.78  -0.23   3.87  -1.22   4.23  -0.63
198812  -2.09  -2.59  -1.43  -1.53  -2.70  -0.81  -2.76  -1.70  -2.55
198901  11.15  10.73  10.65  13.38   9.70  12.16  10.70  11.48   9.90
198902  -1.76  -3.11  -0.99  -0.89  -3.05  -3.32  -1.55  -3.24   0.06
198903   0.63   0.93   1.78   0.60   1.31   1.97   0.85   1.38   0.11
198904   2.21   2.33   2.48   1.79   2.71   1.42   3.56   2.26   3.14
198905  -6.00  -7.00  -5.17  -6.45  -5.76  -6.51  -5.54  -6.82  -3.60
198906  -0.04  -0.17  -0.47   0.56  -0.64   0.31  -0.47  -0.05  -1.99
198907  14.37  13.65  15.13  16.58  14.71  14.32  14.86  13.85  13.27
198908  -2.40  -3.50   0.77  -3.26  -0.96  -4.17   0.72  -2.79  -0.55
198909   0.37   1.78  -0.57   0.56   0.24   2.01  -0.92   1.19  -0.34
198910  -8.96  -8.49  -7.45 -10.82  -7.73  -8.31  -9.62  -8.15  -9.15
198911   5.76   7.12   6.11   7.33   6.12   4.45   5.96   6.64   5.24
198912   9.34  11.62   7.59   8.65   9.34  11.47   8.53  10.28   7.45
199001   1.11   2.27   0.02   2.53  -0.46   1.81  -0.23   1.71  -0.14
