
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
198705  -5.06  -3.88  -3.03  -6.41  -2.46  -6.34  -2.73  -6.38  -2.63
198706   2.36   0.32   1.13   3.11   0.40   2.28   0.83   1.22   2.04
198707   7.76   6.56   8.60   9.65   6.82  10.04   7.94   8.81   9.19
198708   5.71   3.82   3.46   5.82   0.35   4.47   1.47   5.23   3.37
198709   3.74   5.38   1.04   6.78   1.19   7.74   0.57   5.95   0.96
198710 -19.22 -19.24 -18.03 -18.10 -17.09 -19.31 -19.20 -18.61 -17.41
198711 -12.40 -10.50 -10.38 -15.58 -11.16 -15.99 -10.33 -10.49 -10.55
198712   5.63   2.43   7.50   6.02   7.16   3.18   8.00   3.99   6.41
198801   4.89   5.38   3.01   4.73   4.58   6.28   4.71   4.54   4.77
198802   3.31   4.50   0.43   2.30   2.40   4.40   1.33   2.97   1.50
198803   7.74   8.14   5.84   6.18   5.03   9.24   8.59   6.30   4.80
198804   3.61   4.94   2.03   5.08   3.49   5.77   1.89   4.90   2.62
198805   2.37   0.58   2.71   1.34   2.66   0.52   2.42   1.31   1.59
198806  -3.84  -4.68  -4.96  -4.45  -4.45  -4.94  -4.98  -3.13  -6.06
198807   1.41   2.12   2.11   2.35   3.77   2.39   2.17   2.21   2.95
198808  -5.60  -6.01  -6.99  -6.33  -6.11  -6.33  -6.04  -5.23  -6.79
198809   4.10   5.96   3.47   5.72   2.07   6.68   2.54   4.72   3.67
198810   7.51   5.67  11.84   5.90  10.52   4.86   8.72   7.47  12.22
198811   5.10   4.78   4.91   6.95   6.06   5.81   4.16   6.04   5.83
198812   4.72   7.58   3.36   7.11   3.16   6.43   3.55   6.26   3.31
198901   2.61   3.04   2.07   1.67   1.90   2.08   1.84   2.80   0.88
198902   2.54   3.96   0.54   3.49   2.59   3.37   0.90   2.49   1.21
198903   3.52   4.28   1.64   4.85   2.55   6.56   2.27   3.98   3.12
198904   3.50   2.90   3.83   1.65   3.75   5.27   4.47   3.45   3.73
198905  -1.16  -0.31   1.36  -3.80   0.40  -1.54  -0.18  -0.66   0.97
198906   3.16   1.86   2.78   1.47   4.14   3.93   3.12   0.97   3.45
198907   9.57   9.97  11.40  12.41   9.91   8.82  12.35  10.63  10.23
198908  -3.97  -3.49  -3.80  -1.79  -3.74  -2.17  -5.21  -3.12  -3.10
198909  -0.72   1.49  -1.04   1.91  -2.21   2.10  -0.99   0.40  -1.70
198910  -4.29  -5.12  -2.38  -4.79  -2.38  -4.74  -4.36  -5.65  -2.77
198911   1.18  -0.47   1.69  -1.22   2.55  -0.53   2.28  -0.50   2.46
198912  10.03   9.76  10.15  10.43   9.35  11.67  10.44   8.50  11.56
199001   3.39   2.32   5.14   1.52   4.24   2.96   5.44   1.17   5.29
199002  -2.48  -4.04  -2.89  -3.00  -2.10  -2.46  -3.18  -2.98  -2.41
199003  -0.70  -2.91  -0.34  -1.85   0.25  -1.05  -1.28  -1.83  -0.14
199004  -2.59  -2.01  -3.64  -2.30  -4.80  -2.83  -0.99  -2.19  -2.92
199005   9.40   9.10   9.51   8.30  10.52   5.60  12.83   7.62  11.87
199006   3.09   5.42   1.37   4.03   1.10   3.48   2.53   2.78   1.66
199007   6.77   6.99   6.54   7.22   5.95   8.29   5.55   8.53   4.47
199008 -10.12 -12.29  -9.80 -13.73 -10.40 -10.88  -7.55  -9.50  -9.69
199009 -16.15 -16.53 -17.90 -16.70 -17.70 -14.43 -17.10 -15.19 -17.01
199010   3.29   0.22   3.18   2.42   4.02  -2.05   8.65   0.14   8.99
199011  -4.46  -6.42  -4.32  -6.73  -4.48  -5.30  -4.95  -6.58  -5.66
199012  -0.64  -0.38  -1.19  -0.37  -1.45   1.31  -1.71  -1.03  -2.35
199101   6.86   8.95   6.03   6.92   3.68  11.71   6.43  10.92   4.10
199102   9.56  14.86   8.68  12.43   9.30  16.76   6.82  11.41   8.63
199103  -4.59  -3.89  -5.22  -2.97  -4.94  -2.46  -4.67  -1.73  -5.70
199104  -3.52  -4.39  -2.67  -5.55  -2.78  -3.93  -2.09  -3.98  -3.20
199105   3.33   1.42   2.29   2.91   4.12   1.90   3.76   2.32   3.87
199106  -3.37  -2.31  -3.44  -1.46  -3.50  -2.23  -3.57  -2.51  -4.07
199107   5.31   5.85   6.43   6.25   4.71   5.80   5.84   3.98   6.52
199108  -0.78  -3.10   1.57  -2.03   1.95  -0.78   1.92  -4.01   1.96
199109  -1.01  -1.48  -1.90  -1.03  -1.00   0.52  -1.26  -2.90  -1.74
199110  -2.49  -4.77  -0.36  -5.63  -1.42  -3.83   2.06  -7.61   0.06
199111  -4.80  -3.80  -7.53  -3.27  -7.68  -3.73  -3.87  -4.32  -6.40
199112   5.30   1.17   6.34   2.70   6.38   2.84   6.90   4.75   5.86
199201   0.75   5.97  -0.42  -0.20  -0.66   4.42   0.62   4.16  -0.63
199202  -4.64  -5.99  -4.05  -5.24  -4.85  -1.58  -3.16  -3.89  -5.52
199203   1.30   4.63  -1.17   3.94  -2.64   4.29  -2.62   2.82  -1.49
199204   0.27   1.65  -0.97   1.49  -1.51   2.57  -0.91   1.02  -0.57
199205   5.99   2.15   7.05   4.95   7.38   8.95   7.97   2.85   7.31
199206  -4.42  -5.33  -2.77  -5.20  -4.92  -4.08  -1.81  -6.86  -3.29
199207  -3.18  -5.98  -0.53  -3.83  -1.10  -4.23  -0.28  -5.27  -1.34
199208  -8.01 -15.95  -4.38  -9.05  -7.14  -8.01  -5.77 -13.29  -7.20
199209  -7.64 -12.19  -4.64  -7.87  -7.80  -7.88  -4.50 -10.38  -6.57
199210  -5.96 -13.13  -4.59  -6.69  -2.33  -7.20  -5.27 -10.30  -0.06
199211   7.44  16.75   2.26   8.84   4.13  14.50   2.46  15.80   2.64
