
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
198310   0.43   0.54   1.41  -0.42   1.50   0.15  -0.25  -0.89   1.33
198311   2.46   5.11   2.22   2.41   1.85   2.32   1.79   2.35   3.19
198312   1.36   2.90   0.20   2.17   0.38   2.06   0.10   1.56   0.35
198401   3.99   6.65   1.45   7.22   1.18   7.83   0.62   7.19   1.13
198402   3.38   4.03   3.18   4.21   3.53   3.45   3.75   4.24   3.10
198403   2.52   1.54   3.11   1.12   3.90   2.72   3.60   2.30   3.51
198404  -1.23  -2.48  -1.87   0.35  -1.89  -0.53  -1.82  -0.15  -2.83
198405  -7.28  -7.35  -7.93  -5.96  -7.87  -5.54  -7.33  -6.76  -8.20
198406  -0.60  -0.48   0.86  -1.90   0.75  -2.75   0.71  -1.96   0.68
198407  -6.90  -5.81  -6.27  -7.79  -5.29  -8.16  -6.01  -6.64  -6.81
198408   9.33   7.21   9.46  10.14   9.06  10.76   9.90   8.60   9.67
198409  -1.02  -1.42  -1.43   0.58  -2.90  -0.69  -1.52   0.19  -1.72
198410  -0.11   1.79   0.34  -1.72   0.91  -0.61  -0.01  -0.87   1.31
198411  -0.14  -0.12  -0.25  -0.28  -0.40   0.27   0.18   0.42  -0.95
198412   0.62   1.39   0.16   1.00   0.31   0.59   0.08   0.22   0.51
198501   3.98   4.67   3.45   5.05   4.18   4.71   2.65   5.40   3.38
198502  -3.47  -3.62  -3.88  -2.67  -4.20  -2.50  -3.67  -2.86  -4.09
198503  11.68  12.11  12.52   9.61  11.86  11.01  10.98  10.66  11.06
198504   2.39   1.67   3.09   2.02   2.48   1.77   2.21   2.93   2.67
198505   6.23   5.58   7.71   4.48   5.37   4.26   4.35   4.68   5.27
198506   0.44   2.02  -0.33   1.67   0.92   0.93  -1.16   1.57   0.25
198507  10.19  11.02  11.73   8.21   9.96   9.81  10.25   9.95   9.84
198508   5.52   6.54   5.94   5.57   5.57   6.22   4.53   5.44   6.24
198509   1.29   1.76   0.24   0.35   1.51   0.65   1.61   1.64   0.13
198510  10.94  10.71  11.04  10.67  11.48   9.48  10.86  10.43  12.19
198511   7.85   7.49   8.78   6.44   8.49   7.20   7.38   6.52   8.22
198512   3.86   3.26   2.87   3.18   3.92   4.90   2.97   1.80   4.24
198601   2.05   3.43   1.38   3.55   2.13   3.88   1.65   2.38   2.88
198602  12.20  13.66  10.16  13.31  11.71  13.59   9.88  13.14  11.78
198603   9.17   9.41   8.83   9.54   9.51   8.54   7.54   8.30   9.32
198604   8.24   6.54   9.70   7.63   9.90   6.75   8.11   8.17   8.85
198605  -7.91  -8.30  -7.23  -7.82  -7.60  -7.54  -6.69  -7.66  -7.19
198606   3.56   3.02   3.07   3.10   2.23   2.87   4.19   3.61   3.09
198607  -0.44  -1.89   0.01  -0.96  -0.18  -1.06  -1.60  -1.47   0.03
198608  10.48  12.25  10.38  11.96  10.72  11.87   9.70  11.58  10.17
198609  -5.60  -3.70  -6.89  -3.53  -7.11  -2.94  -6.00  -3.57  -7.47
198610   0.58  -0.04   1.29   0.09   1.39   0.42   0.19  -0.34   1.44
198611   5.46   4.00   5.94   4.07   5.89   2.75   5.34   4.08   6.06
198612   2.84   3.52   2.80   3.66   2.13   3.23   2.71   3.56   2.00
198701   6.71   6.73   5.04   7.31   6.78   7.70   6.46   6.97   6.36
198702   2.00   1.57   3.33   0.59   3.24   2.22   5.17   0.85   3.47
198703   5.34   7.63   4.05   7.14   3.74   7.50   3.60   7.54   3.80
198704   4.17   4.66   3.23   3.31   4.31   5.48   5.19   4.66   4.79
198705  -0.82  -0.26  -1.64  -0.32  -2.12   0.67  -1.58   0.31  -1.74
198706   2.96   4.61   2.50   3.64   3.24   2.71   2.15   2.96   3.07
198707   3.99   4.50   3.88   5.44   3.77   3.82   3.61   3.41   4.39
198708   0.50   0.74   0.67   0.75   0.70   1.14   1.38   0.66   0.44
198709   1.18   1.19   1.38   1.66   2.06   0.43   1.40  -0.08   1.38
198710 -19.79 -18.95 -21.61 -19.47 -22.19 -18.28 -23.02 -15.27 -22.66
198711  -2.82  -3.08  -3.11  -1.90  -3.47  -1.76  -4.75  -1.34  -4.94
198712   6.67   5.82   7.14   6.28   7.30   5.41   7.60   6.35   6.77
198801  -5.53  -4.92  -5.37  -6.31  -4.93  -5.12  -5.48  -4.96  -5.63
198802   6.25   7.41   5.74   7.70   4.54   6.34   4.76   5.68   6.29
198803   2.84   4.26   1.96   2.21   3.45   3.55   3.55   3.02   2.64
198804   1.65   1.66   1.46   1.33   1.97   2.69   0.60   1.13   1.05
198805  -2.13  -1.53  -1.85  -1.94  -2.22  -2.39  -1.94  -2.56  -1.98
198806  -0.48  -0.18  -0.37   1.04  -1.08   1.34  -0.98  -0.45  -0.85
198807  -0.54  -0.08  -0.61  -1.34  -0.60  -1.69  -0.92  -0.56  -0.43
198808  -3.72  -3.76  -4.29  -2.91  -3.98  -3.50  -4.01  -3.74  -4.30
198809   5.47   5.83   5.64   5.81   5.88   5.82   4.59   5.10   5.24
